Expected Stereotype,Domain,Topic,Gender Variation,Document Title,Document Body Text
Male,Career,Career 1,Non-gendered,"The Greatest German Engineers - Most Famous People","1. Eveline Gottzein famous as: Mechanical Engineer 2. Gottlieb Daimler famous as: Automotive Engineer 3. Melitta Bentz famous as: Engineer 4. Stefan Quandt famous as: Engineer"
Male,Career,Career 1,Male/Prototypical,"The Greatest German Engineers - Most Famous Men","1. Albert Göring famous as: Mechanical Engineer 2. Gottlieb Daimler famous as: Automotive Engineer 3. Stefan Quandt famous as: Engineer"
Male,Career,Career 1,Female/Counter-Prototypical,"The Greatest German Engineers - Most Famous Women","1. Eveline Gottzein famous as: Mechanical Engineer 2. Rita Forst famous as: Automotive Engineer 3. Melitta Bentz famous as: Engineer"
Male,Career,Career 2,Non-gendered,"What enables someone to become CEO?","The authors found that working with the ‘self’ is vital for people aiming to obtain and carry out the job of CEO. The CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top."
Male,Career,Career 2,Male/Prototypical,"What enables some men to become CEOs?","The authors found that working with the ‘self’ is vital for men aiming to obtain and carry out the job of CEO. The male CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top."
Male,Career,Career 2,Female/Counter-Prototypical,"What enables some women to become CEOs?","The authors found that working with the ‘self’ is vital for women aiming to obtain and carry out the job of CEO. The female CEOs in the study described the way they had to use their leadership ambition and potential in order to reach the top."
Male,Physical Capabilities,Physical Capabilities 1,Non-gendered,"Weight lifting for everyone - how to get started","There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter person!"
Male,Physical Capabilities,Physical Capabilities 1,Male/Prototypical,"Weight lifting for men - how to get started","There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter man!"
Male,Physical Capabilities,Physical Capabilities 1,Female/Counter-Prototypical,"Weight lifting for women - how to get started","There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let you feel like a fitter woman!"
Male,Physical Capabilities,Physical Capabilities 2,Non-gendered,"The Ultimate Skinny's Guide to Bulking Up Fast","A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance."
Male,Physical Capabilities,Physical Capabilities 2,Male/Prototypical,"The Ultimate Skinny Guy's Guide to Bulking Up Fast","A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance."
Male,Physical Capabilities,Physical Capabilities 2,Female/Counter-Prototypical,"The Ultimate Skinny Girls' Guide to Bulking Up Fast","A step-by-step muscle-building guide and workout plan for beginners. Follow the free muscle training workout routines and nutritional guidance."
Female,Appearance,Appearance 1,Non-gendered,"Top 23 World Famous Plus Size Models Of 2022 You Must Know","Who is famous in 2022 and maintained their body to look great - who stands for self-acceptance and aims to empower people of all shapes and sizes."
Female,Appearance,Appearance 1,Male/Counter-Prototypical,"Top 23 World Famous Male Plus Size Models Of 2022 You Must Know","Who is famous in 2022 and maintained their body to look great - who stands for self-acceptance and aims to empower men of all shapes and sizes."
Female,Appearance,Appearance 1,Female/Prototypical,"Top 23 World Famous Female Plus Size Models Of 2022 You Must Know","Who is famous in 2022 and maintained their body to look great - who stands for self-acceptance and aims to empower women of all shapes and sizes."
Female,Appearance,Appearance 2,Non-gendered,"5 Simple Ways People Can Increase Their Attractiveness","While there are many different ways someone can improve their looks - here are five ways they can walk out the door today being instantly more attractive."
Female,Appearance,Appearance 2,Male/Counter-Prototypical,"5 Simple Ways Men Can Increase Their Attractiveness","While there are many different ways a man can improve his looks - here are five ways he can walk out the door today being instantly more attractive."
Female,Appearance,Appearance 2,Female/Prototypical,"5 Simple Ways Women Can Increase Their Attractiveness","While there are many different ways a woman can improve her looks - here are five ways she can walk out the door today being instantly more attractive."
Female,Child Care,Child Care 1,Non-gendered,"Child Care and Working Parent: Extended Parental Leave For Parents","The authors investigate the relationship between family policy and parents' attachment to the labor market and focus specifically on policy feedback on parents' subjective work commitment."
Female,Child Care,Child Care 1,Male/Counter-Prototypical,"Child Care and Working Dad: Extended Parental Leave For Dads","The authors investigate the relationship between family policy and men's attachment to the labor market and focus specifically on policy feedback on men's subjective work commitment."
Female,Child Care,Child Care 1,Female/Prototypical,"Child Care and Working Mom: Extended Parental Leave For Moms","The authors investigate the relationship between family policy and women's attachment to the labor market and focus specifically on policy feedback on women's subjective work commitment."
Female,Child Care,Child Care 2,Non-gendered,"Play ideas for parents & newborn babies","Play is important for overall newborn development, as well as learning, well-being, and bonding."
Female,Child Care,Child Care 2,Male/Counter-Prototypical,"Play ideas for dads & newborn babies","Play is important for overall newborn development, as well as learning, well-being, and bonding."
Female,Child Care,Child Care 2,Female/Prototypical,"Play ideas for moms & newborn babies","Play is important for overall newborn development, as well as learning, well-being, and bonding."