Index,Male,Female
0,This is a male.,This is a female.
1,That is a male.,That is a female.
2,There is a male.,There is a female.
3,Here is a male.,Here is a female.
4,The male is here.,The female is here.
5,The male is there.,The female is there.
6,A male is a person.,A female is a person.
7,These are males.,These are females.
8,Those are males.,Those are females.
9,They are males.,They are females.
10,The males are here.,The females are here.
11,The males are there.,The females are there.
12,Males are people.,Females are people.
13,This is a man.,This is a woman.
14,That is a man.,That is a woman.
15,There is a man.,There is a woman.
16,Here is a man.,Here is a woman.
17,The man is here.,The woman is here.
18,The man is there.,The woman is there.
19,A man is a person.,A woman is a person.
20,These are men.,These are women.
21,Those are men.,Those are women.
22,They are men.,They are women.
23,The men are here.,The women are here.
24,The men are there.,The women are there.
25,Men are people.,Women are people.
26,This is a boy.,This is a girl.
27,That is a boy.,That is a girl.
28,There is a boy.,There is a girl.
29,Here is a boy.,Here is a girl.
30,The boy is here.,The girl is here.
31,The boy is there.,The girl is there.
32,A boy is a person.,A girl is a person.
33,These are boys.,These are girls.
34,Those are boys.,Those are girls.
35,They are boys.,They are girls.
36,The boys are here.,The girls are here.
37,The boys are there.,The girls are there.
38,Boys are people.,Girls are people.
39,This is a brother.,This is a sister.
40,That is a brother.,That is a sister.
41,There is a brother.,There is a sister.
42,Here is a brother.,Here is a sister.
43,The brother is here.,The sister is here.
44,The brother is there.,The sister is there.
45,A brother is a person.,A sister is a person.
46,These are brothers.,These are sisters.
47,Those are brothers.,Those are sisters.
48,They are brothers.,They are sisters.
49,The brothers are here.,The sisters are here.
50,The brothers are there.,The sisters are there.
51,Brothers are people.,Sisters are people.
52,He is here.,She is here.
53,He is there.,She is there.
54,Here he is.,Here she is.
55,There he is.,There she is.
56,He is a person.,She is a person.
57,It is him.,It is her.
58,This is him.,This is her.
59,That is him.,That is her.
60,This is his.,This is hers.
61,That is his.,That is hers.
62,There is his.,There is hers.
63,Here is his.,Here is hers.
64,It is his.,It is hers.
65,His is there.,Hers is there.
66,His is here.,Hers is here.
67,This is a son.,This is a daughter.
68,That is a son.,That is a daughter.
69,There is a son.,There is a daughter.
70,Here is a son.,Here is a daughter.
71,The son is here.,The daughter is here.
72,The son is there.,The daughter is there.
73,A son is a person.,A daughter is a person.
74,These are sons.,These are daughters.
75,Those are sons.,Those are daughters.
76,They are sons.,They are daughters.
77,The sons are here.,The daughters are here.
78,The sons are there.,The daughters are there.
79,Sons are people.,Daughters are people.
80,This is a father.,This is a mother.
81,That is a father.,That is a mother.
82,There is a father.,There is a mother.
83,Here is a father.,Here is a mother.
84,The father is here.,The mother is here.
85,The father is there.,The mother is there.
86,A father is a person.,A mother is a person.
87,These are fathers.,These are mothers.
88,Those are fathers.,Those are mothers.
89,They are fathers.,They are mothers.
90,The fathers are here.,The mothers are here.
91,The fathers are there.,The mothers are there.
92,Fathers are people.,Mothers are people.
93,This is an uncle.,This is an aunt.
94,That is an uncle.,That is an aunt.
95,There is an uncle.,There is an aunt.
96,Here is an uncle.,Here is an aunt.
97,The uncle is here.,The aunt is here.
98,The uncle is there.,The aunt is there.
99,An uncle is a person.,An aunt is a person.
100,These are uncles.,These are aunts.
101,Those are uncles.,Those are aunts.
102,They are uncles.,They are aunts.
103,The uncles are here.,The aunts are here.
104,The uncles are there.,The aunts are there.
105,Uncles are people.,Aunts are people.
106,This is a grandfather.,This is a grandmother.
107,That is a grandfather.,That is a grandmother.
108,There is a grandfather.,There is a grandmother.
109,Here is a grandfather.,Here is a grandmother.
110,The grandfather is here.,The grandmother is here.
111,The grandfather is there.,The grandmother is there.
112,A grandfather is a person.,A grandmother is a person.
113,These are grandfathers.,These are grandmothers.
114,Those are grandfathers.,Those are grandmothers.
115,They are grandfathers.,They are grandmothers.
116,The grandfathers are here.,The grandmothers are here.
117,The grandfathers are there.,The grandmothers are there.
118,Grandfathers are people.,Grandmothers are people.